_bronrij,Deelnemer ID,track_id,track_genre,Studietaak,Energieverschil,Stemmingsverschil,Moeilijkheid studie,energy,valence,tempo,danceability
202,8,1foMv2HQwfQ2vntFf9HFeG,alternative,,,,,0.703,0.852,92.761,0.676
203,8,7Eta1k8UzwooyJCB9stY1d,jazz,,,,,0.848,0.561,89.999,0.554
204,8,5UlnuulVAVmmesw4VzqHdG,rock,,,,,0.745,0.52,77.029,0.722
205,8,7Eta1k8UzwooyJCB9stY1d,jazz,,,,,0.848,0.561,89.999,0.554
206,8,5UlnuulVAVmmesw4VzqHdG,rock,,2.0,0.0,,0.745,0.52,77.029,0.722
207,8,,,Maths / arithmetics,,,2.0,,,,
208,8,,,,0.0,0.0,,,,,
209,8,,,,0.0,0.0,,,,,
210,8,7Eta1k8UzwooyJCB9stY1d,jazz,,-1.0,0.0,,0.848,0.561,89.999,0.554
211,8,,,,,,,,,,
212,8,,,,,,,,,,
213,8,,,,1.0,0.0,,,,,
214,8,39LLxExYz6ewLAcYrzQQyP,dance,,,,,0.884,0.914,103.014,0.695
214,8,3aEJbbODCrHdZh2qY6dRy1,dance,,,,,0.884,0.914,103.014,0.695
214,8,4y85iyRxpimSDOOU4ht1Rw,dance,,,,,0.884,0.914,103.014,0.695
214,8,39LLxExYz6ewLAcYrzQQyP,pop,,,,,0.884,0.914,103.014,0.695
214,8,3aEJbbODCrHdZh2qY6dRy1,pop,,,,,0.884,0.914,103.014,0.695
214,8,4y85iyRxpimSDOOU4ht1Rw,pop,,,,,0.884,0.914,103.014,0.695
215,8,7Eta1k8UzwooyJCB9stY1d,jazz,,,,,0.848,0.561,89.999,0.554
216,8,13MF2TYuyfITClL1R2ei6e,k-pop,,1.0,0.0,,0.836,0.396,124.952,0.661
217,8,,,,0.0,0.0,,,,,
218,8,7Eta1k8UzwooyJCB9stY1d,jazz,,1.0,0.0,,0.848,0.561,89.999,0.554
219,8,,,,-1.0,-1.0,,,,,
220,8,2Y0iGXY6m6immVb2ktbseM,alt-rock,,,,,0.712,0.62,97.512,0.705
220,8,2Y0iGXY6m6immVb2ktbseM,alternative,,,,,0.712,0.62,97.512,0.705
220,8,2Y0iGXY6m6immVb2ktbseM,indie,,,,,0.712,0.62,97.512,0.705
220,8,2Y0iGXY6m6immVb2ktbseM,rock,,,,,0.712,0.62,97.512,0.705
